Ticks,Anabolic,Catabolic,Muscle Mass
143,304.47520935889554,130.56533640830165,2396.9150071383633
144,297.41786519809983,124.22124525831495,2402.6843532046623
145,290.4143680530265,117.99782644354649,2408.3592357252505
146,327.6771276511149,146.88490714407175,2414.4332832844766
147,320.4727821109978,140.25954414468544,2420.431626144137
148,313.3178018751254,133.7390512191263,2426.349862466034
149,306.2133990294325,127.32908226058332,2432.1829737772177
150,299.1608677771451,121.03601096170226,2437.925178049057
151,336.72850563960026,150.17221300185525,2444.0235405075928
152,329.48919274988964,143.5238049140051,2450.0470046002793
153,322.29793286701215,136.97879759224793,2455.991278150617
154,315.15585892382796,130.54250308798248,2461.8516515902165
155,308.0641769415315,124.22068308063866,2467.6230532559134
156,345.61265423364546,153.34107829690254,2473.744691269838
157,338.3483677870122,146.6719351825824,2479.791897116015
158,331.1315588250469,140.10561228827686,2485.7601372641975
159,323.9633768710278,133.6476987009441,2491.6442839216215
160,316.84505263187225,127.30426683469966,2497.4388943174104
161,355.513970174174,157.30985337848213,2503.6001858958007
162,348.21240891022745,150.5977888651762,2509.689700307113
163,340.957020730682,143.98523243212588,2515.703374340865
164,333.7488732425483,137.4773746874215,2521.636568788853
165,326.58910461796575,131.080051119763,2527.4839331842704
166,366.5055372114833,162.06819165332456,2533.690630878844
167,359.16139819570986,155.30484072223024,2539.827783879566
168,351.86209459427573,148.63791733195316,2545.8915703826087
169,344.6086231085463,142.07221456490393,2551.8777053789245
170,337.40204361124836,135.61296666471435,2557.78149944317
171,375.1676935040649,164.88719897990376,2564.0053734164567
172,367.7989771256866,158.110856349776,2570.1601589437105
173,360.4743022279596,151.43029868696655,2576.2420064901885
174,353.19463310439556,144.85038378279603,2582.246528438815
175,345.9609942426072,138.37652047619915,2588.168716038295
176,385.5410530028225,169.09692317563164,2594.424236661897
177,378.1387538452821,162.28747428540171,2600.611816754385
178,370.779488960278,155.57191041412918,2606.7278156901757
179,363.4641798246425,148.95456916309783,2612.7685612326386
180,356.1938054300198,142.4398417845992,2618.7305728724573
181,396.3456291520069,173.60452458808723,2625.026955004966
182,388.9064938879744,166.75050879876378,2631.2580438666914
183,381.5092522662752,159.98729945513662,2637.420485118077
184,374.15476811039974,153.31918901861485,2643.5104948563812
185,366.8439565499611,146.75094124650457,2649.5237828520053
186,407.15739841167544,178.03404524315255,2655.8586361779167
187,399.6813558383565,171.13815269523442,2662.130192770594
188,392.24606226867434,164.330468090008,2668.335361367028
189,384.8523216610408,157.61499807650003,2674.4706789155443
190,377.5009830481815,150.99619236901907,2680.5322313649604
191,416.8125140422276,181.4753905245901,2686.893902120939
192,409.30770138750387,174.5532891399515,2693.193486068424
193,401.8427344323623,167.71775633884994,2699.4280078290617
194,394.4183759713585,160.97264672576344,2705.594139444219
195,387.03543013506896,154.32223082432242,2711.6881277310436
196,426.45124891698174,184.88437870636602,2718.0731077405526
197,418.9204498033659,177.94057556919986,2724.396687642253
198,411.4287923953055,171.08233174218364,2730.655884544611
199,403.9770204359657,164.31347380995751,2736.847345365739
200,396.5659186880719,157.6382349384791,2742.9672788061794
201,438.19369808090323,189.9589320354871,2749.389644069368
202,430.6271802355458,182.97426772453244,2755.7522480242583
203,423.09881139828343,176.07294143346485,2762.052280938863
204,415.609290789373,169.2585452724087,2768.286607076632
205,408.1593546592338,162.5350155160841,2774.4517295416563
206,449.2125441622927,194.39154057403493,2780.9025040888387
207,441.6169526260762,187.37831551289113,2787.294682444156
208,434.05872237541683,180.44690841410414,2793.625574494645
209,426.53852315698316,173.60079923959634,2799.892174730582
210,419.05705973571656,166.8438314357291,2806.091098285111
211,459.42484044707595,198.1496877527352,2812.5662946298576
212,451.8034082546467,191.11291799832813,2818.98362748783
213,444.21864707509843,184.1568327973979,2825.3404229864755
214,436.67120446635727,177.28480597679712,2831.633719667581
215,429.16176172557033,170.5004807623183,2837.860293264841
